device_uuid,lat,lng,grid_cell_id,safety_rating,time_context,created_at,tags
e7007173-da90-43e5-bb1f-b3c36211dbe1,28.465461,77.024941,ttncbtz,3,23,2026-06-03 23:15:34,"sparse_crowd,suspicious_activity,dimly_lit"
583ef81a-50c4-492d-846d-c8b32d013fea,28.624263,77.233368,ttnfv6z,3,13,2026-05-17 13:01:29,"ok_transport,moderate_crowd,some_lighting"
252fb015-ecde-455c-80a6-f0c2e4c12f16,28.610154,77.205254,ttnfub7,2,23,2026-03-19 23:35:39,"mixed_vibes,moderate_crowd"
3a05cc43-8397-4e8c-81f8-47cbaea4bed6,28.478451,77.035809,ttnf0br,3,22,2026-05-06 22:14:19,"mixed_vibes,moderate_crowd,some_lighting"
064da584-0342-4f0a-8cd0-b339c5fb1f2c,28.606388,77.217681,ttnftps,3,5,2026-03-15 05:07:29,"some_lighting,mixed_vibes,moderate_crowd"
0d60c29c-2810-49aa-84aa-7df0a19a8070,28.453939,77.021011,ttncbeu,5,15,2026-03-28 15:27:19,"cctv_present,police_nearby"
60f87657-c687-4684-bfbf-6c3cd8dc4c28,28.462404,77.003641,ttncbm2,5,13,2026-05-22 13:57:00,"crowded,busy_market,well_lit"
a1969a91-e896-424e-ac41-26e12318209f,28.514801,77.384253,ttp40yv,3,3,2026-03-09 03:54:45,some_lighting
4d82db25-b3c5-4ffb-a11d-1ec7bbbe4608,28.597695,77.214028,ttnftn1,3,19,2026-05-08 19:54:15,ok_transport
9c9433da-17ab-45d3-b8cc-29dab2975425,28.448604,77.009652,ttncb6u,4,8,2026-04-09 08:43:22,"busy_market,police_nearby,cctv_present"
b3db9bdf-8a99-423b-989b-7039d5aa04f1,28.553088,77.388291,ttp43jb,4,11,2026-03-08 11:03:33,some_lighting
51770acc-70cb-4e97-81d6-0e5fbdbc6bbb,28.61498,77.186204,ttnfu3j,2,23,2026-04-05 23:26:36,"mixed_vibes,ok_transport,moderate_crowd"
13537189-1e92-4bad-b851-e777b8db3497,28.452967,77.027931,ttncbgd,4,20,2026-04-05 20:47:18,cctv_present
24a1f438-c74c-4ea6-9bc6-1db4c233f102,28.595484,77.215011,ttnftjd,3,22,2026-06-05 22:16:23,"moderate_crowd,mixed_vibes,some_lighting"
