device_uuid,zone_label,lat,lng,grid_cell_id,safety_rating,time_context,is_night,created_at,tags
4aa06a5e-1a5d-4fef-93c0-f43cdd468c2d,Saket,28.529467,77.205217,ttnfkce,2,1,1,2026-06-04 01:50:02,"poor_lighting,dark_street,felt_followed"
c440bf9a-b50c-4190-bc87-8841b5e56725,Connaught Place,28.637977,77.23193,ttnfvmq,4,21,0,2026-05-28 21:28:31,"busy_market,police_nearby,well_lit"
7a632495-ac51-4e3b-8cfc-e815b66d129e,Saket,28.522158,77.204259,ttnfkb6,4,11,0,2026-03-25 11:29:14,"heavy_crowd,well_lit"
efba9c96-66fd-467c-89c3-260a1bacfd89,Vasant Kunj,28.563951,77.166909,ttnf7zz,2,0,1,2026-05-07 00:48:46,"suspicious_activity,sparse_crowd,dimly_lit"
9f74304f-2783-460b-b012-abd69652fe5f,Connaught Place,28.626805,77.222126,ttnfv5r,3,7,0,2026-03-15 07:41:57,"some_lighting,mixed_vibes,moderate_crowd"
2bff10ea-efe8-429a-8cad-c0f701a1f30c,Karol Bagh,28.647266,77.186243,ttnfurj,4,18,0,2026-03-28 18:01:46,"mixed_vibes,some_lighting"
55603346-a3ea-4a66-95bb-680c78fe22e0,Chandni Chowk,28.658136,77.215694,ttngj14,3,16,0,2026-05-22 16:31:27,"dimly_lit,suspicious_activity,sparse_crowd"
0c807a8d-7fed-473a-9c5b-bf58eaa3b0dc,Dwarka,28.567951,77.038128,ttnf909,2,0,1,2026-05-13 00:46:11,"suspicious_activity,sparse_crowd,no_cctv"
95be845a-f74c-4958-a413-bb2c8d68039f,Connaught Place,28.621372,77.219842,ttnfv4m,2,22,1,2026-05-08 22:28:43,no_cctv
258ae5e6-3714-4849-b299-63fc9f2dd5a4,Vasant Kunj,28.534104,77.140752,ttnf76k,4,11,0,2026-04-09 11:17:50,"busy_market,police_nearby,cctv_present"
366d394f-f67b-41ae-bde6-7bd4fc63fce1,Rohini,28.724619,77.099339,ttng6mn,3,13,0,2026-03-08 13:38:00,dimly_lit
04dc7cd5-c653-4e74-87f7-3304f073b091,Lajpat Nagar,28.568375,77.229453,ttnft2s,2,2,1,2026-04-06 02:01:04,"mixed_vibes,ok_transport,moderate_crowd"
573a8766-6201-42ee-aca2-a568cb307876,Karol Bagh,28.646456,77.192009,ttnfuwc,2,23,1,2026-04-05 23:21:46,suspicious_activity
5bdf7fa7-a692-4d13-a99d-aa27481146af,Lajpat Nagar,28.55619,77.247457,ttnfmy3,2,0,1,2026-06-06 00:50:50,"sparse_crowd,suspicious_activity,dimly_lit"
4c53d563-d2ec-4c10-bc33-cdd7d972ea6a,Saket,28.518494,77.203683,ttnfhzd,4,12,0,2026-04-12 12:28:53,"mixed_vibes,some_lighting,moderate_crowd"
36a626a2-e773-4e25-9225-9b0b58b57eef,Vasant Kunj,28.53778,77.179927,ttnfk70,3,5,0,2026-03-19 05:49:04,sparse_crowd
371b100b-0970-4fbf-9b02-4bfdff8b559c,Karol Bagh,28.651765,77.180323,ttnfurb,3,21,0,2026-03-24 21:14:49,ok_transport
08df87c2-802b-46af-ae2b-eb6b08a47ffa,Saket,28.532725,77.194392,ttnfkd5,4,11,0,2026-05-13 11:20:05,"crowded,cctv_present,busy_market"
881680b5-728a-4cc5-b224-99c92f1926d6,Karol Bagh,28.653989,77.171303,ttngh06,3,21,0,2026-04-27 21:33:39,mixed_vibes
849cd196-82f6-448c-bed6-ebce0991a8fb,Saket,28.511218,77.208569,ttnfhym,4,14,0,2026-05-16 14:48:34,moderate_crowd
4a5a9af3-e874-4aa0-9e93-4fcc41b75a05,Connaught Place,28.638885,77.218414,ttnfvjs,4,14,0,2026-05-07 14:07:54,good_transport
6f544f34-6933-4b43-8d06-1eefefe9cf51,Karol Bagh,28.650744,77.187889,ttnfurw,3,21,0,2026-03-18 21:54:35,"crowded,well_lit"
76792ea7-0446-4911-a3f6-17e903f5834a,Karol Bagh,28.637115,77.183702,ttnfum5,4,10,0,2026-05-05 10:34:28,"moderate_crowd,ok_transport,some_lighting"
e0424031-9b52-421c-b142-6ec285c69d2b,Rohini,28.697651,77.1173,ttng6b5,3,18,0,2026-03-20 18:38:40,police_nearby
a9417565-4ebd-4cbe-8dd2-36383114822e,Rohini,28.708911,77.077817,ttng3fq,3,20,0,2026-05-14 20:16:31,sparse_crowd
7d753955-e5a1-42ed-a12c-9ee1a055fb0d,Connaught Place,28.634741,77.212849,ttnfvhb,4,12,0,2026-03-30 12:09:20,security_present
77378c5f-5ef6-4a2a-afa6-e0d1cd87578f,Connaught Place,28.624731,77.222817,ttnfv4z,3,5,0,2026-05-03 05:16:31,"police_nearby,busy_market"
31fbce46-d855-4e90-a677-c6952cf0ca9f,Lajpat Nagar,28.57801,77.253013,ttnftfm,4,17,0,2026-05-17 17:37:23,"mixed_vibes,moderate_crowd,ok_transport"
5d2c550b-8543-42a2-a29b-c30f98bc2666,Dwarka,28.580351,77.041671,ttnf94u,3,13,0,2026-03-15 13:58:51,sparse_crowd
b49fe215-3292-4369-ba77-31f5c6ef9d11,Connaught Place,28.634813,77.226455,ttnfvkf,5,18,0,2026-03-20 18:19:40,"good_transport,very_safe,heavy_crowd"
95be845a-f74c-4958-a413-bb2c8d68039f,Dwarka,28.585392,77.043401,ttnf95v,4,19,0,2026-04-14 19:07:30,"cctv_present,crowded,police_nearby"
a086e5d6-a5bd-4101-85bb-8127d6a40690,Connaught Place,28.620437,77.204738,ttnfuf4,4,5,0,2026-04-09 05:34:32,ok_transport
b36549b3-a2a1-4a36-b797-d34d22ed2f30,Vasant Kunj,28.55475,77.173975,ttnfknh,4,16,0,2026-03-08 16:17:20,cctv_present
4d46eabb-6c5c-4edc-a361-3a81ae9dae9f,Connaught Place,28.63078,77.226735,ttnfvk4,4,8,0,2026-05-15 08:12:10,"busy_market,well_lit,cctv_present"
315ebc19-1725-4812-8bb3-3ef5b333ae1c,Saket,28.528116,77.200149,ttnfk9r,5,11,0,2026-03-14 11:15:51,very_safe
849cd196-82f6-448c-bed6-ebce0991a8fb,Saket,28.528114,77.22198,ttnfm1r,4,19,0,2026-05-12 19:35:06,"cctv_present,police_nearby,crowded"
a0ff1819-4d57-414c-bd39-d2935c7140bf,Vasant Kunj,28.54457,77.176476,ttnfkhq,5,18,0,2026-06-01 18:07:53,cctv_present
0c6fd9c4-7df5-4cad-9eab-3a375771793c,Connaught Place,28.605303,77.224919,ttnftr3,2,3,1,2026-03-10 03:29:37,"moderate_crowd,ok_transport,mixed_vibes"
8abc765d-43e5-48dd-8fcf-a15e42c7b67f,Vasant Kunj,28.546045,77.154112,ttnf7st,3,23,1,2026-03-16 23:22:17,"some_lighting,moderate_crowd"
75f71be7-1845-4edd-a11f-696066ef4371,Rohini,28.705385,77.074674,ttng3cs,3,8,0,2026-03-14 08:23:13,some_lighting
eedbaaa5-abdf-4f13-a1cd-ee32bf6fadc9,Connaught Place,28.629303,77.220271,ttnfv5y,3,2,1,2026-03-28 02:48:22,some_lighting
bbb0a2ab-0a5f-449d-806a-bb364c0787ee,Chandni Chowk,28.668023,77.226854,ttngj6f,3,9,0,2026-05-21 09:25:26,"some_lighting,ok_transport"
33fd2ed7-831e-45f6-91fa-336c6684ee1c,Chandni Chowk,28.649732,77.226986,ttnfvrd,4,14,0,2026-05-27 14:22:14,police_nearby
1e3e9f11-7405-4605-9bda-e1fa81fda921,Rohini,28.716916,77.107103,ttng6eg,3,17,0,2026-03-26 17:54:39,"mixed_vibes,some_lighting"
5653ca25-108e-4e35-8fde-0d7bfb4ee76e,Connaught Place,28.626202,77.221833,ttnfv5p,4,17,0,2026-03-28 17:28:18,well_lit
ab1250c2-e223-4681-a019-f66f3fa1ce13,Vasant Kunj,28.546165,77.169324,ttnfkh8,3,6,0,2026-05-21 06:09:02,"no_cctv,dimly_lit,suspicious_activity"
58946507-8ab6-49c5-8ae6-72477f3eaa9a,Saket,28.517479,77.203323,ttnfhz3,4,7,0,2026-04-21 07:11:00,police_nearby
45c6842a-c5d8-4577-9c51-b1bcdf67c2d7,Saket,28.520579,77.191965,ttnfk81,5,17,0,2026-03-25 17:47:37,"security_present,very_safe"
cf1dc471-c9e6-4240-b5d5-c2c0ea2a4dbf,Karol Bagh,28.654861,77.193511,ttngh86,4,14,0,2026-05-07 14:37:30,"cctv_present,police_nearby,crowded"
f07f9641-5556-4d11-a642-04a425092983,Karol Bagh,28.651951,77.188554,ttnfury,4,10,0,2026-04-17 10:19:34,"well_lit,heavy_crowd,good_transport"
76e02b0c-f552-49b0-a93d-4f1cd1ed6604,Chandni Chowk,28.644877,77.227635,ttnfvqe,1,23,1,2026-05-09 23:29:14,"isolated,poor_lighting"
41097ec6-6df6-4e2c-a522-c69cbd40f84f,Lajpat Nagar,28.564273,77.235677,ttnfmxc,4,17,0,2026-04-24 17:46:30,"well_lit,cctv_present,police_nearby"
18e4da3b-633c-4c76-8df5-4a7ce366151c,Saket,28.522887,77.210641,ttnfkbr,3,3,1,2026-05-07 03:51:02,some_lighting
fd730f90-b7b6-424f-95e5-c7d1530b2325,Connaught Place,28.650362,77.218446,ttnfvps,4,6,0,2026-05-15 06:59:50,"ok_transport,mixed_vibes"
dad833ab-7771-44d0-bd8d-ec6d16bf8f80,Lajpat Nagar,28.570276,77.242956,ttnft9n,4,15,0,2026-04-04 15:43:55,ok_transport
7aae42c1-1cc4-4378-be28-fd6d2f3a356d,Lajpat Nagar,28.548512,77.243435,ttnfmtn,2,2,1,2026-03-12 02:39:02,no_cctv
54c8c3e2-ab57-4fce-bafb-e572310d8c93,Chandni Chowk,28.656682,77.250706,ttngjbu,3,5,0,2026-04-07 05:53:21,"busy_market,police_nearby,cctv_present"
9bca2709-f959-4fad-888e-db86a8077336,Vasant Kunj,28.542692,77.161319,ttnf7u5,4,9,0,2026-03-31 09:33:41,"cctv_present,police_nearby,busy_market"
075adb2a-bf42-4adf-9273-e420635cc01a,Rohini,28.703614,77.086139,ttng61k,3,8,0,2026-05-30 08:29:35,"moderate_crowd,ok_transport,mixed_vibes"
ab30815d-5c87-4134-80ea-a018e8f34d0f,Dwarka,28.6081,77.056527,ttnf9ry,4,13,0,2026-05-23 13:47:52,"police_nearby,busy_market,well_lit"
deb0d1e9-271b-4c2b-8b1b-c8727ecaffbe,Chandni Chowk,28.662528,77.223725,ttngj3b,3,6,0,2026-05-02 06:35:14,"no_cctv,dimly_lit,sparse_crowd"
dad833ab-7771-44d0-bd8d-ec6d16bf8f80,Rohini,28.723739,77.082874,ttng6hf,4,12,0,2026-03-30 12:21:03,"good_transport,well_lit,security_present"
a086e5d6-a5bd-4101-85bb-8127d6a40690,Rohini,28.712316,77.133166,ttng74y,3,14,0,2026-04-23 14:52:14,"crowded,police_nearby,well_lit"
e0424031-9b52-421c-b142-6ec285c69d2b,Saket,28.514595,77.200937,ttnfhyb,5,16,0,2026-03-16 16:53:27,"police_nearby,crowded,busy_market"
60425d9f-88d4-4d16-b309-3ab128fa55e7,Connaught Place,28.632497,77.211665,ttnfuur,2,4,1,2026-05-03 04:59:34,"ok_transport,some_lighting"
9b4a7854-d2b8-48f5-826e-a33dfbb0fc7b,Connaught Place,28.615993,77.217386,ttnfv17,5,13,0,2026-06-04 13:59:21,very_safe
379df577-06c0-421b-bf82-79ac94829da8,Vasant Kunj,28.532252,77.163383,ttnf7fh,4,16,0,2026-06-02 16:53:58,"some_lighting,moderate_crowd,mixed_vibes"
64d95551-1795-44b6-96e4-3f9b2a3422f2,Karol Bagh,28.642706,77.206399,ttnfuy5,4,13,0,2026-04-16 13:40:58,busy_market
6e559e44-2419-4943-9bab-756760eea488,Vasant Kunj,28.535601,77.153835,ttnf7dt,4,16,0,2026-04-02 16:12:20,busy_market
18653acb-2ae8-41c6-a7c6-7338ce2509ca,Vasant Kunj,28.554762,77.14293,ttnf7qj,4,12,0,2026-04-15 12:08:10,busy_market
