device_uuid,lat,lng,grid_cell_id,safety_rating,time_context,created_at,tags
fe6beb61-9b5b-4754-9e73-df04cd5130e4,28.465461,77.024941,ttncbtz,4,10,2026-06-04 10:39:09,well_lit
e39b5092-c062-4d41-88a0-6fbd3af70cb9,28.624263,77.233368,ttnfv6z,3,10,2026-03-20 10:59:14,no_cctv
95d51b21-39fc-4ec1-b51f-cc9095e08e51,28.45669,77.02379,ttncbsr,5,14,2026-05-30 14:28:03,crowded
688037c7-d983-4a6d-8cdd-94e8c16eee27,28.639167,77.221279,ttnfvjw,4,17,2026-05-05 17:17:28,police_nearby
4a48805b-daef-44ed-ae98-ba4ec5f8c309,28.453866,77.033111,ttncbgv,3,5,2026-03-26 05:46:37,"dimly_lit,mixed_vibes"
bb0a61d1-739b-40d1-be5e-99392e190a6c,28.453939,77.021011,ttncbeu,5,5,2026-05-25 05:52:45,very_safe
f310f2aa-8f0c-4f72-930a-8c59ff8a1fc7,28.462404,77.003641,ttncbm2,5,9,2026-05-27 09:14:39,well_lit
35e3a20d-775e-4907-bda9-98e119b9337a,28.514801,77.384253,ttp40yv,3,4,2026-04-10 04:32:42,sparse_crowd
8e07f96d-e4e4-465c-bca1-c3862a9e790b,28.523346,77.394771,ttp430t,5,9,2026-05-26 09:01:59,ok_transport
5558b280-c897-4ad6-bb09-36fee75a9bea,28.524604,77.374052,ttp428w,4,17,2026-03-17 17:30:34,very_safe
9ed12155-df67-46d3-b0d4-9b5336e18d2a,28.63735,77.205388,ttnfuv7,3,11,2026-03-14 11:57:54,"ok_transport,no_cctv"
5558b280-c897-4ad6-bb09-36fee75a9bea,28.46031,77.009503,ttncbmh,4,20,2026-05-27 20:39:17,moderate_crowd
cec12e09-32cd-444b-82a5-2ab73e5055df,28.452967,77.027931,ttncbgd,5,11,2026-03-11 11:38:38,"security_present,police_nearby"
9e2f1bd6-5f40-4bfc-8e6b-4e69f560fc45,28.521688,77.395508,ttp430j,2,0,2026-04-03 00:54:50,"dimly_lit,moderate_crowd,dark_street"
d5f370cb-ebd7-4a04-9f09-1b51123303f7,28.60429,77.204333,ttnfsz6,2,4,2026-04-14 04:30:52,dimly_lit
4226e7fc-cc48-4f6a-bf32-e362e15db153,28.52828,77.413227,ttp4396,3,20,2026-03-08 20:00:51,mixed_vibes
4be32bbd-26b8-4912-b124-69fa26d244bc,28.459338,77.013907,ttncbkz,5,18,2026-05-10 18:01:04,cctv_present
8eab3ac1-330f-4d98-a5a6-40877f7e2f78,28.469371,77.01195,ttncbqw,5,13,2026-03-22 13:05:30,police_nearby
57e80628-c930-4455-ab16-d4c278b116e2,28.462006,77.003084,ttncbjr,5,14,2026-04-18 14:12:03,"very_safe,well_lit"
266a04d2-dff5-4cc1-ae79-4c98b507dbbf,28.443562,77.028962,ttncbcf,5,9,2026-05-16 09:19:23,some_lighting
3761cfea-5268-4262-a1f7-7a37a5baac67,28.468362,77.028656,ttncbyd,4,6,2026-05-03 06:23:08,"cctv_present,well_lit"
df50e5d3-32d0-4995-a00c-a54fa0396848,28.534112,77.387387,ttp42fr,3,3,2026-03-14 03:55:25,"dimly_lit,cctv_present"
a5200bdb-dbfb-43b6-9813-fbe82cbedf3b,28.517758,77.382362,ttp40zk,3,22,2026-04-02 22:42:25,ok_transport
c2bafb7b-3de4-4451-9cc2-47ef1bad5322,28.529972,77.403685,ttp433e,4,10,2026-05-20 10:18:04,crowded
85689a3d-7d04-42a9-9ff0-c4701ec41d60,28.463623,77.005444,ttncbm9,3,1,2026-03-27 01:15:44,some_lighting
35416b31-c169-4c16-a25b-77d3c026960b,28.539389,77.386379,ttp42gr,3,22,2026-03-18 22:37:12,moderate_crowd
683f9ab6-469a-4c69-9109-708ba49aea51,28.451377,77.03394,ttncbgq,5,21,2026-04-25 21:14:53,security_present
d00cca5d-d82e-4789-be36-0e2573c6ce4f,28.471872,77.037775,ttnccp1,4,18,2026-03-31 18:22:48,"very_safe,mixed_vibes"
5b8c2422-fabf-4ed0-8018-36e27a36c5e5,28.449429,77.022889,ttncben,3,2,2026-04-04 02:48:38,"good_transport,ok_transport"
e728414a-3588-4305-ac38-0c60ef62132d,28.463475,77.038307,ttnccj9,4,21,2026-03-21 21:13:42,ok_transport
4759efc4-f7a3-4571-a641-c99c4a2f85f5,28.606233,77.206029,ttnfsze,2,5,2026-05-02 05:35:31,"ok_transport,no_cctv"
83698b28-b0a9-421d-be4f-a01e52876981,28.446224,77.012246,ttncb6q,3,0,2026-06-02 00:10:15,"some_lighting,sparse_crowd,well_lit"
5170f188-894d-4797-bb21-253fcff7876c,28.46925,77.042875,ttnccns,5,9,2026-05-27 09:17:05,well_lit
fc931c81-2592-494c-8ab7-2e932e113cf2,28.458636,77.038642,ttncch9,5,18,2026-04-16 18:15:41,"heavy_crowd,police_nearby"
a4d9b3e6-1258-47aa-b03a-62f7c055063f,28.619686,77.198678,ttnfudn,2,22,2026-03-25 22:57:56,"no_cctv,isolated"
fad2e9ce-66c9-48c8-abd6-f7e720441268,28.539837,77.409456,ttp437x,4,10,2026-05-14 10:38:05,ok_transport
ead384c2-ae12-4f0a-9122-0202d75c15f6,28.613327,77.234034,ttnfv8b,3,18,2026-05-17 18:01:39,mixed_vibes
717ed5e6-0fa8-4eef-8214-fe94c69f2f15,28.571984,77.22215,ttnft1r,2,22,2026-05-26 22:26:15,suspicious_activity
4b7446f5-e0d1-4828-8ce6-e4d4e394e176,28.460545,77.023012,ttncbtn,4,21,2026-04-17 21:25:14,ok_transport
eed96376-c5e8-417a-b0f2-5b279bdbe0e2,28.536601,77.367149,ttp42dc,4,18,2026-04-15 18:18:36,good_transport
4a060e91-1d09-4799-842b-5515288d3841,28.532864,77.395285,ttp434j,2,2,2026-04-29 02:24:12,"moderate_crowd,no_cctv"
cf4d66ec-cbd4-4dec-8f96-1ad1d22195cd,28.477235,77.020381,ttnf08h,5,10,2026-04-04 10:13:22,well_lit
5c894a13-31e2-46c4-91ee-89f96db213fa,28.525798,77.384979,ttp42by,5,12,2026-05-26 12:04:19,"moderate_crowd,well_lit"
9bd7061f-7ce8-4d3c-9110-f13714cef41f,28.470485,77.030545,ttncbyg,5,8,2026-04-25 08:23:38,security_present
bc71c86a-16f3-4df2-a2b8-16940ff1362b,28.453143,77.032759,ttncbgt,4,11,2026-03-25 11:22:23,ok_transport
c6f50101-cfdc-4d54-9942-008bd74df8bb,28.536665,77.402624,ttp436f,4,15,2026-04-11 15:47:12,some_lighting
07c60833-43fb-421c-a627-4a8a3ea40b74,28.527075,77.387068,ttp42cp,3,23,2026-04-17 23:48:46,police_nearby
27dcf310-634d-4c02-b0d7-c5b44b5b44a1,28.454795,77.009038,ttncbkh,4,22,2026-04-21 22:52:32,police_nearby
df3bba6c-3b1d-4315-a844-a16910eb7123,28.463053,77.029733,ttncbve,5,17,2026-05-03 17:54:07,ok_transport
8e07f96d-e4e4-465c-bca1-c3862a9e790b,28.459561,77.023785,ttncbsz,4,7,2026-05-26 07:59:02,"some_lighting,police_nearby"
35e3a20d-775e-4907-bda9-98e119b9337a,28.591254,77.20227,ttnfsub,3,2,2026-05-08 02:58:27,moderate_crowd
c2fa4b1a-8e72-4a2a-a008-e195ae3b0eda,28.455387,77.016973,ttncbs4,3,3,2026-03-20 03:54:17,mixed_vibes
a6a5ae43-7c86-4bbe-a6fb-f9044075e17a,28.457565,77.031449,ttncbus,3,22,2026-04-11 22:06:05,some_lighting
